Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts
2019/01/22 01:15:00 PM,2019/01/22,13:15,2019,Tuesday,2019/02/02 07:33:00 PM,76745571000,767455,196026091,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2019/08/10 05:00:00 PM,2019/08/10,17:00,2019,Saturday,2019/08/11 07:40:00 AM,83384006374,833840,196163972,,II,Coplogic Initial,true,06374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,
2021/01/30 03:45:00 AM,2021/01/30,03:45,2021,Saturday,2021/01/30 03:45:00 AM,100067807045,1000678,210061575,,VS,Vehicle Supplement,,07045,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Truck",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2022/04/19 03:00:00 PM,2022/04/19,15:00,2022,Tuesday,2022/04/19 05:31:00 PM,114253006244,1142530,226064812,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,
2019/05/12 10:01:00 PM,2019/05/12,22:01,2019,Sunday,2019/05/13 06:28:00 PM,80075406244,800754,196093818,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Park,,,,,,,,,,,,,,
2022/08/17 08:00:00 AM,2022/08/17,08:00,2022,Wednesday,2022/08/22 05:06:00 PM,118959506244,1189595,226150295,,IS,Coplogic Supplement,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2021/04/28 01:00:00 PM,2021/04/28,13:00,2021,Wednesday,2021/04/28 04:00:00 PM,102553062050,1025530,210141149,211181689,IS,Initial Supplement,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,,,Out of SF,,,,,,,,,,,,,,
2022/12/21 12:09:00 AM,2022/12/21,00:09,2022,Wednesday,2022/12/21 12:09:00 AM,122649107041,1226491,220859649,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2020/11/12 09:00:00 PM,2020/11/12,21:00,2020,Thursday,2020/12/28 10:00:00 AM,99477606372,994776,206179174,,II,Coplogic Initial,true,06372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,,,Mission,,,,,,,,,,,,,,
2021/04/12 02:09:00 PM,2021/04/12,14:09,2021,Monday,2021/04/12 02:10:00 PM,102110607045,1021106,210224892,,VS,Vehicle Supplement,,07045,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Truck",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2022/07/02 10:53:00 PM,2022/07/02,22:53,2022,Saturday,2022/07/02 11:00:00 PM,116680304134,1166803,220435590,221832779,II,Initial,,04134,Assault,Simple Assault,Battery,Open or Active,GILMAN AVE \ HAWES ST,20438000,Bayview,Bayview Hunters Point,10,10,37.719298464887245,-122.39001968579463,POINT (-122.39001968579463 37.719298464887245),88,,,,,,9,2
2021/10/15 08:49:00 AM,2021/10/15,08:49,2021,Friday,2021/10/15 08:49:00 AM,109331362040,1093313,219002500,,II,Initial,,62040,Warrant,Warrant,"Warrant Arrest, Enroute To Probation",Cite or Arrest Adult,,,Out of SF,,,,,,,,,,,,,,
2021/01/22 10:46:00 AM,2021/01/22,10:46,2021,Friday,2021/01/22 10:46:00 AM,99846007045,998460,210036039,,VS,Vehicle Supplement,,07045,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Truck",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2021/07/15 03:00:00 AM,2021/07/15,03:00,2021,Thursday,2021/07/15 11:20:00 PM,105157006244,1051570,216095203,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Central,,,,,,,,,,,,,,
2018/06/15 06:30:00 PM,2018/06/15,18:30,2018,Friday,2018/06/22 03:20:00 PM,68878671000,688786,186153234,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2019/04/05 08:08:00 AM,2019/04/05,08:08,2019,Friday,2019/04/05 08:08:00 AM,78716164020,787161,190240562,190950791,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,,,Mission,,,,,,,,,,,,,,
2023/01/29 09:30:00 AM,2023/01/29,09:30,2023,Sunday,2023/01/29 09:30:00 AM,123935964020,1239359,230068636,230290855,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2022/03/23 07:00:00 PM,2022/03/23,19:00,2022,Wednesday,2022/03/27 12:20:00 PM,113601306372,1136013,226050087,,II,Coplogic Initial,true,06372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,,,Central,,,,,,,,,,,,,,
2019/08/15 02:00:00 PM,2019/08/15,14:00,2019,Thursday,2019/09/17 11:05:00 AM,84829571000,848295,196195624,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2020/02/18 03:31:00 PM,2020/02/18,15:31,2020,Tuesday,2020/02/18 05:24:00 PM,90473571000,904735,206038398,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Park,,,,,,,,,,,,,,
2019/01/10 03:00:00 PM,2019/01/10,15:00,2019,Thursday,2019/03/06 05:54:00 PM,77921671000,779216,196050802,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/08/03 10:00:00 PM,2018/08/03,22:00,2018,Friday,2018/08/06 12:40:00 PM,70032071000,700320,186179519,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Central,,,,,,,,,,,,,,
